Console,Game
ARCADE,s1945ii.zip
ARCADE,s1945iii.zip
ARCADE,samesame2.zip
ARCADE,schmeisr.zip
ARCADE,sdgndmps.zip
ARCADE,searchey.zip
ARCADE,searchp2.zip
ARCADE,sf2ce.zip
ARCADE,shadfrce.zip
ARCADE,shadfrcej.zip
ARCADE,silvmil.zip
ARCADE,sngkace.zip
ARCADE,snowbro3.zip
ARCADE,soldivid.zip
ARCADE,sonicbom.zip
ARCADE,spec2k.zip
ARCADE,sstriker.zip
ARCADE,stagger1.zip
ARCADE,stratof.zip
ARCADE,superx.zip
ARCADE,suprtrio.zip
ARCADE,suratk.zip
ARCADE,swatpolc.zip
ARCADE,tankfrce.zip
ARCADE,tdragon.zip
ARCADE,tdragon2.zip
ARCADE,tengaij.zip
ARCADE,tetris.zip
ARCADE,tharrier.zip
ARCADE,theroes.zip
ARCADE,thndrx2.zip
ARCADE,thoop.zip
ARCADE,thunderx.zip
ARCADE,tkdensho.zip
ARCADE,truxton.zip
ARCADE,truxton2.zip
ARCADE,twinactn.zip
ARCADE,twineag2.zip
ARCADE,vaportra.zip
ARCADE,vasara2.zip
ARCADE,vmetal.zip
ARCADE,wb3.zip
ARCADE,wrofaero.zip
ARCADE,zeroteam.zip
ARCADE,zeroteams.zip
ARCADE,zerotm2k.zip
CPS1+2,1941.zip
CPS1+2,armwar.zip
CPS1+2,avsp.zip
CPS1+2,batcir.zip
CPS1+2,captcomm.zip
CPS1+2,cawing.zip
CPS1+2,cybots.zip
CPS1+2,ddsom.zip
CPS1+2,ddtod.zip
CPS1+2,dimahoo.zip
CPS1+2,dino.zip
CPS1+2,dinoh.zip
CPS1+2,dinohunt.zip
CPS1+2,dstlk.zip
CPS1+2,dynwar.zip
CPS1+2,dynwarjr.zip
CPS1+2,ecofghtr.zip
CPS1+2,ffight.zip
CPS1+2,ffightjh.zip
CPS1+2,forgottn.zip
CPS1+2,ganbare.zip
CPS1+2,ghouls.zip
CPS1+2,gigawing.zip
CPS1+2,hsf2.zip
CPS1+2,knights.zip
CPS1+2,knightsh.zip
CPS1+2,kod.zip
CPS1+2,kodh.zip
CPS1+2,mbombrd.zip
CPS1+2,megaman.zip
CPS1+2,megaman2.zip
CPS1+2,mercs.zip
CPS1+2,mmatrix.zip
CPS1+2,mpang.zip
CPS1+2,msh.zip
CPS1+2,mshvsf.zip
CPS1+2,msword.zip
CPS1+2,mtwins.zip
CPS1+2,mvsc.zip
CPS1+2,nemo.zip
CPS1+2,nwarr.zip
CPS1+2,pang3.zip
CPS1+2,pnickj.zip
CPS1+2,progear.zip
CPS1+2,punisher.zip
CPS1+2,punisherbz.zip
CPS1+2,ringdest.zip
CPS1+2,sf2.zip
CPS1+2,sf2ce.zip
CPS1+2,sf2dongb.zip
CPS1+2,sf2hf.zip
CPS1+2,sf2koryu.zip
CPS1+2,sf2mdt.zip
CPS1+2,sf2rb.zip
CPS1+2,sf2red.zip
CPS1+2,sf2tlona.zip
CPS1+2,sfa.zip
CPS1+2,sfa2.zip
CPS1+2,sfa3.zip
CPS1+2,sfz2al.zip
CPS1+2,sfzch.zip
CPS1+2,sgemf.zip
CPS1+2,sgyxz.zip
CPS1+2,slammast.zip
CPS1+2,spf2t.zip
CPS1+2,ssf2.zip
CPS1+2,ssf2t.zip
CPS1+2,strider.zip
CPS1+2,unsquad.zip
CPS1+2,varth.zip
CPS1+2,vhunt2.zip
CPS1+2,vsav.zip
CPS1+2,vsav2.zip
CPS1+2,willow.zip
CPS1+2,wof.zip
CPS1+2,wof3js.zip
CPS1+2,wofch.zip
CPS1+2,wofhfh.zip
CPS1+2,wofj.zip
CPS1+2,wofsjb.zip
CPS1+2,xmcota.zip
CPS1+2,xmvsf.zip
CPS3,jojo.zip
CPS3,jojoba.zip
CPS3,redearth.zip
CPS3,sfiii2j.zip
CPS3,sfiii3n.zip
CPS3,sfiiij.zip
IGS,dmnfrnt.zip
IGS,drgw2.zip
IGS,dw2001.zip
IGS,dwpc.zip
IGS,grdians.zip
IGS,killbld.zip
IGS,killbldp.zip
IGS,kov.zip
IGS,kov2.zip
IGS,kov2p.zip
IGS,kovplus.zip
IGS,kovplusa.zip
IGS,kovsh.zip
IGS,kovshp.zip
IGS,kovytzy.zip
IGS,martmastc.zip
IGS,olds.zip
IGS,oldsplus.zip
IGS,orlegend.zip
IGS,orlegendc.zip
IGS,pgm.zip
IGS,photoy2k.zip
IGS,svg.zip
IGS,theglad100.zip
EASYRPG,FF72DR
EASYRPG,Resident evil dead arpg
EASYRPG,Zelda Links Awakening
FBAHACK,avsp.zip
FBAHACK,avspp.zip
FBAHACK,captcomm.zip
FBAHACK,captcommp.zip
FBAHACK,captcommpjy.zip
FBAHACK,captcommpwx.zip
FBAHACK,captcommpzs.zip
FBAHACK,captcommr1bs.zip
FBAHACK,captcommr1dw.zip
FBAHACK,captcommr1v4.zip
FBAHACK,captcommrds.zip
FBAHACK,ddsom.zip
FBAHACK,ddsoma4pp.zip
FBAHACK,ddtod.zip
FBAHACK,ddtodp.zip
FBAHACK,dino.zip
FBAHACK,dino1v3.zip
FBAHACK,dino2011ws.zip
FBAHACK,dino2015ws.zip
FBAHACK,dinodw.zip
FBAHACK,dinojds.zip
FBAHACK,dinojps.zip
FBAHACK,dinolbws.zip
FBAHACK,dinoplus.zip
FBAHACK,dinoslicews.zip
FBAHACK,dinotfzn.zip
FBAHACK,dinowj.zip
FBAHACK,dinows2019.zip
FBAHACK,dinowszh.zip
FBAHACK,dinowtw.zip
FBAHACK,dinoxa.zip
FBAHACK,dinoxzb.zip
FBAHACK,dinoyz.zip
FBAHACK,doubledr.zip
FBAHACK,ffight.zip
FBAHACK,ffight1v2.zip
FBAHACK,ffightj2u.zip
FBAHACK,gamelist.xml
FBAHACK,grdians.zip
FBAHACK,grdianslbs.zip
FBAHACK,grdiansplus.zip
FBAHACK,grdianssy.zip
FBAHACK,hook.zip
FBAHACK,hookj1v4.zip
FBAHACK,hookus.zip
FBAHACK,hookx2.zip
FBAHACK,hookxr.zip
FBAHACK,kabukikl.zip
FBAHACK,kf2k1bs.zip
FBAHACK,kf2k1cm.zip
FBAHACK,kf2k2mp3.zip
FBAHACK,kf2k2mp3s.zip
FBAHACK,kf2k2tt.zip
FBAHACK,killbld.zip
FBAHACK,killbldqy.zip
FBAHACK,knights.zip
FBAHACK,knightsc.zip
FBAHACK,knightsp.zip
FBAHACK,kod.zip
FBAHACK,kod1v3.zip
FBAHACK,kodbs.zip
FBAHACK,koddw.zip
FBAHACK,kof02ic.zip
FBAHACK,kof2000.zip
FBAHACK,kof2000p.zip
FBAHACK,kof2000t.zip
FBAHACK,kof2001.zip
FBAHACK,kof2k2c2.zip
FBAHACK,kof2knd.zip
FBAHACK,kof94.zip
FBAHACK,kof94p.zip
FBAHACK,kof95.zip
FBAHACK,kof96.zip
FBAHACK,kof96ae20.zip
FBAHACK,kof96c.zip
FBAHACK,kof96p.zip
FBAHACK,kof97.zip
FBAHACK,kof97c.zip
FBAHACK,kof97m.zip
FBAHACK,kof97orh.zip
FBAHACK,kof97p.zip
FBAHACK,kof97plss20.zip
FBAHACK,kof97ru.zip
FBAHACK,kof97rugal.zip
FBAHACK,kof97st.zip
FBAHACK,kof97sw2.zip
FBAHACK,kof97sw2s.zip
FBAHACK,kof97tsb.zip
FBAHACK,kof97u.zip
FBAHACK,kof97xlb.zip
FBAHACK,kof97ys.zip
FBAHACK,kof98.zip
FBAHACK,kof98a1.zip
FBAHACK,kof98cb.zip
FBAHACK,kof98eck.zip
FBAHACK,kof98eckp.zip
FBAHACK,kof99.zip
FBAHACK,kof99ae.zip
FBAHACK,kof99nd.zip
FBAHACK,kof99pr.zip
FBAHACK,kof99rpg.zip
FBAHACK,kof99t.zip
FBAHACK,kov.zip
FBAHACK,kov2.zip
FBAHACK,kov2p.zip
FBAHACK,kov2pcthl.zip
FBAHACK,kov2pmess.zip
FBAHACK,kov2pswcq.zip
FBAHACK,kov8.zip
FBAHACK,kovplus.zip
FBAHACK,kovplus2017.zip
FBAHACK,kovplusa.zip
FBAHACK,kovplusxb1.zip
FBAHACK,kovplusxb2.zip
FBAHACK,kovplusxb2ds.zip
FBAHACK,kovplusxb2wj.zip
FBAHACK,kovsh.zip
FBAHACK,kovshp.zip
FBAHACK,kovshp1v4.zip
FBAHACK,kovshp1v4s.zip
FBAHACK,kovshp1v4x.zip
FBAHACK,kovshp1v4xtw.zip
FBAHACK,kovshpb.zip
FBAHACK,kovshpd19.zip
FBAHACK,kovshpd3.zip
FBAHACK,kovshpd3tw.zip
FBAHACK,kovshpd3x.zip
FBAHACK,kovshpdx.zip
FBAHACK,kovshpp19.zip
FBAHACK,kovshpqszl.zip
FBAHACK,kovshpqszltw.zip
FBAHACK,kovshpqxzq.zip
FBAHACK,kovshpqxzqj.zip
FBAHACK,kovshptplscs.zip
FBAHACK,kovshptx.zip
FBAHACK,kovshpwsb.zip
FBAHACK,kovshpxy.zip
FBAHACK,kovshsjcs.zip
FBAHACK,kovshwsgl.zip
FBAHACK,kovshzlzy.zip
FBAHACK,kovshzlzyjz.zip
FBAHACK,kovshzlzymy.zip
FBAHACK,kovshzlzywj.zip
FBAHACK,kovshzscs.zip
FBAHACK,kovytzy.zip
FBAHACK,kovytzyp.zip
FBAHACK,ms5f.zip
FBAHACK,mslug.zip
FBAHACK,mslug2.zip
FBAHACK,mslug2ct.zip
FBAHACK,mslug2dg.zip
FBAHACK,mslug2gs.zip
FBAHACK,mslug2h.zip
FBAHACK,mslug2hk.zip
FBAHACK,mslug2p.zip
FBAHACK,mslug2r.zip
FBAHACK,mslug3.zip
FBAHACK,mslug3c.zip
FBAHACK,mslug3eb.zip
FBAHACK,mslug3g.zip
FBAHACK,mslug3n6p.zip
FBAHACK,mslug3n6zp.zip
FBAHACK,mslug3nd.zip
FBAHACK,mslug3ngw.zip
FBAHACK,mslug3nsj.zip
FBAHACK,mslug3ntk.zip
FBAHACK,mslug3nzj.zip
FBAHACK,mslug3sd.zip
FBAHACK,mslug3v2.zip
FBAHACK,mslug4.zip
FBAHACK,mslug4ammor.zip
FBAHACK,mslug4d.zip
FBAHACK,mslug4dr.zip
FBAHACK,mslug4lw.zip
FBAHACK,mslug4sp.zip
FBAHACK,mslug5d.zip
FBAHACK,mslug5dg2.zip
FBAHACK,mslug5dg3.zip
FBAHACK,mslug5dzh.zip
FBAHACK,mslug5g.zip
FBAHACK,mslug5wn.zip
FBAHACK,mslugdg.zip
FBAHACK,mslugx.zip
FBAHACK,mslugxc1.zip
FBAHACK,mslugxc2.zip
FBAHACK,mslugxeb.zip
FBAHACK,mslugxh.zip
FBAHACK,mslugxjdkj.zip
FBAHACK,mslugxplus.zip
FBAHACK,nbbatman.zip
FBAHACK,nbbatman1v4.zip
FBAHACK,nbbatmanbh.zip
FBAHACK,nbbatmanx2.zip
FBAHACK,nbbatmanx2x.zip
FBAHACK,neogeo.zip
FBAHACK,olds.zip
FBAHACK,olds100adsgl.zip
FBAHACK,olds100aem.zip
FBAHACK,olds100aem2015.zip
FBAHACK,olds100aem2016.zip
FBAHACK,olds100afybh.zip
FBAHACK,olds100ahxwj.zip
FBAHACK,olds100asrp.zip
FBAHACK,olds100aylzx.zip
FBAHACK,oldsdsgl.zip
FBAHACK,oldshxwj.zip
FBAHACK,oldsplushmf.zip
FBAHACK,oldsplusp.zip
FBAHACK,orlegndcjhcs.zip
FBAHACK,orlegndcmm.zip
FBAHACK,pgm.zip
FBAHACK,punisher.zip
FBAHACK,punisher1v2.zip
FBAHACK,punisherbs.zip
FBAHACK,punisherdw.zip
FBAHACK,punisherhr.zip
FBAHACK,punisherly.zip
FBAHACK,snowbrosbs.zip
FBAHACK,tengaijs.zip
FBAHACK,wof.zip
FBAHACK,wof1v3.zip
FBAHACK,wof3m.zip
FBAHACK,wofch.zip
FBAHACK,wofchdx.zip
FBAHACK,wofdr.zip
FBAHACK,wofdwp.zip
FBAHACK,wofjps.zip
FBAHACK,wofmz.zip
FBAHACK,wofr1.zip
FBAHACK,wofr19.zip
FBAHACK,wofzl.zip
FC,014 Contra.nes
FC,015 Super Contra.nes
FC,016 Contra Force.nes
FC,017 Contra-Special II.nes
FC,018 Super Contra 5.nes
FC,019 Double Dragon.nes
FC,020 Double Dragon II.nes
FC,021 Double Dragon III.nes
FC,022 Rockman 1.nes
FC,023 Rockman 2.nes
FC,024 Rockman 3.nes
FC,025 Rockman 4.nes
FC,026 Rockman 5.nes
FC,027 Rockman 6.nes
FC,028 Rockman 7.nes
FC,029 Teenage Mutant Hero Turtles.nes
FC,030 Teenage Mutant Hero Turtles II.nes
FC,031 Teenage Mutant Ninja Turtles III.nes
FC,032 Ninja Gaiden 1.nes
FC,033 Ninja Gaiden 2.nes
FC,034 Ninja Gaiden 3.nes
FC,035 Rush'n Attack.nes
FC,036 Power Blade 1.nes
FC,037 Power Blade 2.nes
FC,038 Battle City.nes
FC,039 Snow Brothers.nes
FC,040 Metal Storm.nes
FC,041 G-I-Joe-A Real American Hero.nes
FC,042 G-I-Joe-The Atlantis Factor.nes
FC,043 Tekken 2.nes
FC,044 Journey to Silius.nes
FC,045 Code Name - Viper.nes
FC,046 Guerrilla War.nes
FC,047 POW-Prisoners of War.nes
FC,048 Rolling Thunder.nes
FC,049 Battletoads & Double Dragon.nes
FC,050 Punisher.nes
FC,051 Tiny Toon Adventures.nes
FC,052 Tiny Toon Adventures 2.nes
FC,053 Bubble Bobble Part 2.nes
FC,054 Kick Master.nes
FC,055 RoboCop.nes
FC,056 RoboCop 2.nes
FC,057 RoboCop Vs The Terminator.nes
FC,058 Kirby's Adventure.nes
FC,059 Ikari Warriors.nes
FC,060 Ikari Warriors 2.nes
FC,061 Ikari Warriors II-Victory Road.nes
FC,062 Ikari III-The Rescue.nes
FC,063 Kage.nes
FC,064 The Legend of Kage.nes
FC,065 Hudson's Adventure Island.nes
FC,066 Hudson's Adventure Island II.nes
FC,067 Hudson's Adventure Island III.nes
FC,068 Soccer.nes
FC,069 Castlevania.nes
FC,070 Castlevania 2.nes
FC,071 Castlevania 3-Dracula's Curse.nes
FC,072 Road Runner.nes
FC,073 Chip 'n Dale Rescue Rangers.nes
FC,074 Cobra Command.nes
FC,075 Ninja Crusaders.nes
FC,076 Ninja Crusaders-Ryuuga.nes
FC,077 Ms. Pac-Man.nes
FC,078 Pac-Land.nes
FC,079 Pokemon Blue.nes
FC,080 Pokemon Green.nes
FC,081 Pokemon 2000.nes
FC,082 Pokemon 4in1.nes
FC,083 Jackie Chan's Action Kung Fu.nes
FC,084 Angry Birds.nes
FC,085 Angry Bird 2.nes
FC,086 Angry bird 3.nes
FC,087 Angry Bird 4.nes
FC,088 Bomberman.nes
FC,089 Bomberman II.nes
FC,090 Bomberman-Killerman.nes
FC,091 The Battle of Valhalla-1943.nes
FC,092 Cross Fire.nes
FC,093 Duck Tales 1.nes
FC,094 Duck Tales 2.nes
FC,095 Darkwing Duck.nes
FC,096 Mickey Mania 7.nes
FC,097 Donkey Kong Jr. Math.nes
FC,098 King Kong 2.nes
FC,099 Battletoads.nes
FC,100 Exed Exes.nes
FC,101 Fire 'n Ice.nes
FC,102 Shadow of the Ninja.nes
FC,103 Airwolf.nes
FC,104 Silk Worm.nes
FC,105 Batman.nes
FC,106 Dynamite Batman.nes
FC,107 Batman Returns.nes
FC,108 Bad Dudes.nes
FC,109 Spider-Man-Return of the Sinister Six.nes
FC,110 Little Nemo-The Dream Master.nes
FC,111 Alien 3.nes
FC,112 Astro Robo Sasa.nes
FC,113 Back to the Future.nes
FC,114 Back to the Future Part II & III.nes
FC,115 Bee 52.nes
FC,116 Blaster Master.nes
FC,117 B-Wings.nes
FC,118 Lode Runner.nes
FC,119 Lode Runner 2.nes
FC,120 Kung Fu.nes
FC,126 Dig Dug II.nes
FC,127 RoadBlasters.nes
FC,128 Tom & Jerry (and Tuffy).nes
FC,129 Tom & Jerry 3.nes
FC,130 Captain America and The Avengers.nes
FC,131 Captain Planet and the Planeteers.nes
FC,132 Street Fighter 12 Peoples.nes
FC,133 Street Fighter 16 Peoples.nes
FC,134 Street Fighter 2010-The Final Fight.nes
FC,135 Street Fighter III(13 Peoples).nes
FC,136 Street Fighter V(10 Peoples).NES
FC,137 Ice Hockey.nes
FC,138 S.C.A.T.-Special Cybernetic Attack Team.nes
FC,139 Kyuukyoku Tiger.nes
FC,140 Eliminator Boat Duel.nes
FC,141 100 Man Dollar Kid-Maboroshi no Teiou Hen.nes
FC,142 8 Eyes.nes
FC,143 A Boy and His Blob-Trouble on Blobolonia.nes
FC,144 Abado X.nes
FC,145 Adventures in the Magic Kingdom.nes
FC,146 Adventures of Lolo 1.nes
FC,147 Adventures of Lolo 2.nes
FC,148 Adventures of Lolo 3.nes
FC,149 Adventures of Rad Gravity.nes
FC,150 After Burner.nes
FC,151 Air Fortress.nes
FC,152 Aladdin 3.nes
FC,153 Alfred Chicken.nes
FC,154 Alien Syndrome.nes
FC,155 Alpha Mission.nes
FC,156 Amagon.nes
FC,157 American Dream.nes
FC,158 American Gladiators.nes
FC,159 Antarctic Adventure.nes
FC,160 Arch Rivals-A Basket Brawl!.nes
FC,161 Arctic.nes
FC,162 Argos no Senshi.nes
FC,163 Arkanoid 1.nes
FC,164 Arkanoid 2.nes
FC,165 Arkista's Ring.nes
FC,166 Armadillo.nes
FC,167 Asmik-kun Land.nes
FC,168 Athena.nes
FC,169 Attack Animal Gakuen.nes
FC,170 Attack of the Killer Tomatoes.nes
FC,171 Bad Street Brawler.nes
FC,172 Ballblazer.nes
FC,173 Baltron.nes
FC,174 Banana Prince.nes
FC,175 Banana.nes
FC,176 Bandai Golf-Challenge Pebble Beach.nes
FC,177 Barbie.nes
FC,178 Baseball Fighter.nes
FC,179 Baseball Simulator 1.000.nes
FC,181 Bases Loaded.nes
FC,182 Batsu & Terry.nes
FC,183 Battle Chess.nes
FC,184 Battle Fleet.nes
FC,185 Battle Formula.nes
FC,186 Battle of Midway1942.nes
FC,187 Battle Storm.nes
FC,188 Battleship.nes
FC,189 Battletank.nes
FC,190 Beetlejuice.nes
FC,191 Bible Adventures.nes
FC,192 Big Nose the Caveman.nes
FC,193 Bionic Commando.nes
FC,194 Bird Week.nes
FC,195 Blodia Land-Puzzle Quest.nes
FC,196 Bokosuka Wars.nes
FC,197 Bonk's Adventure.nes
FC,198 Boulder Dash.nes
FC,199 Break Time-The National Pool Tour.nes
FC,200 BreakThru.nes
FC,201 Brush Roller.nes
FC,202 Bucky O'Hare.nes
FC,203 Bugs Bunny Blowout.nes
FC,204 Bugs Bunny Fun House.nes
FC,205 Bump'n'Jump.nes
FC,206 Burger Time.nes
FC,207 Cabal.nes
FC,208 Cadillac.nes
FC,209 Capcom Barcelona'92.nes
FC,210 Captain Saver.nes
FC,211 Captain Tsubasa 2.nes
FC,212 Captain Tsubasa.nes
FC,213 Casino Derby.nes
FC,214 Casino Kid 2.nes
FC,215 Casino Kid.nes
FC,216 Castle Excellent.nes
FC,217 Castle of Deceit.nes
FC,218 Castle of Dragon.nes
FC,219 Caveman Games.nes
FC,220 Chack 'n Pop.nes
FC,221 Challenge of the Dragon.nes
FC,222 Challenger.nes
FC,223 Championship Bowling.nes
FC,224 Championship Pool.nes
FC,225 Cheetahmen II.nes
FC,226 Chester Field.nes
FC,227 Chitei Senkuu Vazolder.nes
FC,228 Choujin Sentai-Jetman.nes
FC,229 Chubby Cherub.nes
FC,230 Circus Caper.nes
FC,231 City Adventure Touch-Mystery of Triangle.nes
FC,232 Clash at Demonhead.nes
FC,233 Cliffhanger.nes
FC,235 Color a Dinosaur.nes
FC,236 Columbus-Ougon no Yoake.nes
FC,237 Commando.nes
FC,238 Conan.nes
FC,239 Conquest of the Crystal Palace.nes
FC,240 Cosmo Genesis.nes
FC,241 Crackout.nes
FC,242 Crash 'n the Boys-Street Challenge.nes
FC,243 Crash Dummies.nes
FC,244 Crayon Shin-Chan-Ora to Poi Poi.nes
FC,245 Crazy Climber.nes
FC,246 Cyberball.nes
FC,247 Cybernoid-The Fighting Machine.nes
FC,248 Daiva-Imperial of Nirsartia.nes
FC,249 Darkman.nes
FC,250 Dash Galaxy in the Alien Asylum.nes
FC,251 Deblock.nes
FC,252 Defender II.nes
FC,253 Defenders of Dynatron City.nes
FC,254 Demon Sword.nes
FC,255 Destination Earthstar.nes
FC,256 Dick Tracy.nes
FC,257 Die Hard.nes
FC,258 Digger T. Rock-The Legend of the Lost City.nes
FC,259 Dirty Harry.nes
FC,260 Don Doko Don.nes
FC,261 Door Door.nes
FC,262 Double Dare.nes
FC,263 Double Dribble.nes
FC,264 Dough Boy.nes
FC,265 Downtown Special.nes
FC,266 Dr. Jekyll and Mr. Hyde.nes
FC,267 Dragon Ball 3-Gokuu Den.nes
FC,268 Dragon Ball Party 4 In 1.nes
FC,269 Dragon Ball Z-Kyoushuu! Saiya Jin.nes
FC,270 Dragon Buster 4.nes
FC,271 Dragon Buster II.nes
FC,272 Dragon Fighter.nes
FC,273 Dragon Scroll-Yomigaerishi Maryuu.nes
FC,274 Dragon Spirit-Aratanaru Densetsu.nes
FC,275 Dragon Spirit-The New Legend.nes
FC,276 Dragon Warrior-Part II.nes
FC,277 Dragon's Lair 1.nes
FC,278 Dropzone.nes
FC,279 Duck Maze.nes
FC,280 Dudes With Attitude.nes
FC,281 Dusty Diamond's All-Star Softball.nes
FC,282 Dynablaster.nes
FC,283 Dynamite Bowl.nes
FC,284 Dynowarz-Destruction of Spondylus.nes
FC,285 Earthwhorm Jim 3.nes
FC,286 Eggerland-Meikyuu no Fukkatsu.nes
FC,287 Egypt.nes
FC,288 Elevator Action.nes
FC,289 Erika to Satoru no Yume Bouken.nes
FC,290 Erunaaku no Zaihou.nes
FC,291 Esper Bouken Tai.nes
FC,292 Excitebike.nes
FC,293 Exciting Boxing.nes
FC,294 Exciting Rally - World Rally Championship.nes
FC,295 Exerion.nes
FC,296 Exodus-Journey to the Promised Land.nes
FC,297 F-15 Strike Eagle.nes
FC,298 Famicom Doubutsu Seitai Zukan!.nes
FC,299 Family Pinball.nes
FC,300 Fantastic Adventures of Dizzy.nes
FC,301 Fantasy Zone.nes
FC,302 Fatal Fury Special.nes
FC,303 Felix the Cat.nes
FC,304 Field Combat.nes
FC,305 Fisher-Price-Firehouse Rescue.nes
FC,306 Fisher-Price-I Can Remember.nes
FC,307 Fisher-Price-Perfect Fit.nes
FC,308 Fishwar.nes
FC,309 Flappy.nes
FC,"310 Flintstones, The Rescue of Dino & Hoppy.nes"
FC,311 Flipull-An Exciting Cube Game.nes
FC,312 Formation Z.nes
FC,313 Friday the 13th.nes
FC,314 Galactic Crusader.nes
FC,315 Gauntlet.nes
FC,316 Geimos.nes
FC,317 Gekitotsu Yonku Battle.nes
FC,318 Gekitou Stadium!!.nes
FC,319 George Foreman's KO Boxing.nes
FC,320 Getsufuu Maden.nes
FC,321 Ghostbusters 1.nes
FC,322 Ghostbusters 2.nes
FC,323 Ghosts'n Goblins.nes
FC,324 Ghoul School.nes
FC,325 Gird Dance.nes
FC,326 Golgo 13-Top Secret Episode.nes
FC,327 Goonies II.nes
FC,328 Gorby no Pipeline Daisakusen.nes
FC,329 Grand Master.nes
FC,330 Great Battle Cyber.nes
FC,331 Great Tank.nes
FC,332 Gremlins 2-The New Batch.nes
FC,333 Gremlins 2.nes
FC,334 Gun Nac.nes
FC,335 Gun-Dec.nes
FC,336 Gyrodine.nes
FC,337 Gyromite.nes
FC,338 Gyruss.nes
FC,339 Hammerin' Harry.nes
FC,340 Hana no Star Kaidou.nes
FC,341 Happy Birthday Bugs.nes
FC,342 Hassle.nes
FC,343 Hatris.nes
FC,344 Heavy Barrel.nes
FC,345 Hebereke.nes
FC,346 Hector 87.nes
FC,347 Hell Fighter.nes
FC,348 High Speed.nes
FC,349 Holy Diver.nes
FC,350 Home Alone 2.nes
FC,351 Hotman.nes
FC,352 Hudson Hawk.nes
FC,353 Hyper Olympic.nes
FC,354 Insector X.nes
FC,355 Ironsword - Wizards & Warriors II.nes
FC,356 Isolated Warrior.nes
FC,357 Jackal.nes
FC,358 James Bond Jr.nes
FC,359 Jeopardy! 25th Anniversary Edition.nes
FC,360 Joe & Mac-Caveman Ninja.nes
FC,361 John Elway's Quarterback.nes
FC,362 Joshua & the Battle of Jericho.nes
FC,363 Jurassic Boy 2.nes
FC,364 Jurassic Park.nes
FC,365 Juuouki.nes
FC,366 Karate Champ.nes
FC,367 Karateka.nes
FC,368 Karnov.nes
FC,369 Kid Icarus-Angel Land Story.nes
FC,370 Kid Klown-in Night Mayor World.nes
FC,371 Kid Niki-Radical Ninja.nes
FC,372 King's Knight.nes
FC,373 Kiwi Kraze-A Bird-Brained Adventure!.nes
FC,374 Krazy Kreatures.nes
FC,375 Krion Conquest.nes
FC,376 Krusty's Fun House.nes
FC,377 Kujaku Ou 2.nes
FC,378 Kujaku Ou.nes
FC,379 Kyonsees 2.nes
FC,380 Labyrinth.nes
FC,381 Last Action Hero.nes
FC,382 Layla.nes
FC,383 Legendary Wings.nes
FC,384 Lethal Weapon.nes
